city,entropy,rel_entropy,circuity,avg_degree,intersection_count
"St Augustine, FL, USA",3.444999629,0.122479723,1.085430507,4.69424641,7673
"Panama City, FL, USA",2.840353585,0.56219105,1.067033563,5.503319252,5488
"Toronto, ON, Canada",3.438969273,0.127612323,1.084414807,5.326198659,129465
"Rome, Italy",3.582011965,0.001808131,1.169460148,4.58896642,383949
"Buenos Aires, Autonomous City of Buenos Aires, Argentina",3.453947613,0.114836109,1.01220047,4.34246041,12404
"Palermo, Italy",3.471716586,0.0995591,1.094675031,4.470080976,7865
"Des Moines, IA, USA",2.78993746,0.592018803,1.054915453,5.300585114,12291
"Greensboro, NC, USA",3.486919117,0.086384857,1.071768059,4.738798727,65775
"Charleston, SC, USA",3.562730129,0.019260198,1.097206573,4.957979777,15339
"State College, PA, USA",3.508125362,0.067848087,1.099451635,4.96145409,2546
"Nairobi, Kenya",3.576591086,0.006730143,1.070166434,4.948471421,53236
"Springfield, IL, USA",2.698043828,0.64367909,1.055158573,5.34036321,4385
"New Jersey, USA",3.572823486,0.010143857,1.073561748,5.170179996,389971
"Porto Alegre - RS, Brazil",3.527726561,0.050548753,1.041547922,5.066234368,20257
"Riverside, CA, USA",3.347006755,0.204018814,1.093249097,4.840414099,120794
"Brussels, Belgium",3.577579355,0.005833729,1.045044033,4.473365231,17127
"Rio Vista, CA, USA",3.321816885,0.224336829,1.118242021,4.983174835,6409
"New York, USA",3.479330071,0.092973348,1.06261588,5.371499244,30030
"Barrie, ON, Canada",3.378382682,0.178343793,1.099236598,5.6033637,2468
"Tulsa, OK, USA",2.703026609,0.640967534,1.064260887,5.254067004,21591
"Oklahoma City, OK, USA",2.656219461,0.666034082,1.063538138,5.306232035,26776
"Alice Springs NT 0870, Australia",3.528911918,0.049497498,1.082966439,4.592863678,859
"Darwin NT, Australia",3.530222724,0.048334309,1.077531493,4.49594659,5080
"Fort Collins, CO, USA",3.023847996,0.444745852,1.090370784,5.069889697,16491
"San Gabriel Valley, Avocado Heights, CA 90601, USA",3.228932029,0.296987156,1.052340348,5.255768907,57182
"Pamplona, Navarre, Spain",3.569044772,0.013561738,1.0776826,4.137115839,6144
"Saint Albert, AB, Canada",3.074068557,0.410172816,1.11906315,5.087522327,6793
"Melbourne VIC, Australia",3.379251622,0.177626937,1.07769962,4.708945522,312852
"Tehama County, CA, USA",3.385146603,0.172755458,1.187364673,4.778146102,10965
"Stanislaus County, CA, USA",3.219579795,0.304104139,1.075997463,5.027485949,32739
"Siskiyou County, CA, USA",3.533975517,0.045000207,1.268224979,4.826024786,5785
"San Benito County, CA, USA",3.160126266,0.348501117,1.057673819,4.971319312,1164
"Yamhill County, OR, USA",3.125877802,0.373411935,1.094538799,4.932501232,17489
"Woodburn, OR, USA",3.210435036,0.311028224,1.080713028,5.244122966,459
"Wallowa County, OR, USA",3.082789008,0.404063058,1.17011106,5.276533115,4562
"Newport, OR, USA",3.149118112,0.356560916,1.148983591,4.94954948,73592
"Roseburg, OR, USA",3.324353836,0.222302434,1.091466435,4.809120827,2948
"Tillamook, OR 97141, USA",3.23306889,0.293827484,1.124422461,4.910349752,45833
"Astoria, OR, USA",3.232956216,0.293913636,1.124480982,4.910422518,45857
"Cottage Grove, OR 97424, USA",2.693135549,0.646340054,1.052589733,5.369458128,318
"Sandy, OR, USA",3.187484734,0.328252906,1.120639435,4.716662266,2534
"Modoc County, CA, USA",3.410424544,0.151703233,1.176803555,4.867945936,50303
"Medford, OR, USA",3.07631327,0.408603125,1.101321074,5.161487965,5236
"Florence, OR 97439, USA",2.817800906,0.575663989,1.062496291,5.339483395,415
"Grant County, OR, USA",3.254157006,0.277610592,1.166350565,5.063488864,28555
"Linn County, OR, USA",2.986080057,0.470058356,1.074292718,5.094814039,2778
"Lincoln County, OR, USA",3.303880303,0.238644268,1.166047931,4.775977121,3476
"Josephine County, OR, USA",3.22105757,0.302981972,1.154102465,4.822611263,6507
"Redmond, OR 97756, USA",3.196200006,0.321737591,1.101654704,5.044924406,6974
"Ontario, OR 97914, USA",3.095767817,0.394911498,1.118427975,5.182851083,4912
"Oakridge, OR, USA",2.96574325,0.483443726,1.150787429,4.963063764,3685
"Brookings, OR, USA",3.393512503,0.165817372,1.249684677,4.76994132,29860
"Corvallis, OR, USA",3.127303035,0.372384967,1.070946354,5.214416058,1650
"Coos County, OR, USA",3.30647299,0.236584399,1.17014599,4.664862775,3232
"Pendleton, OR 97801, USA",3.091563612,0.397883584,1.099735825,5.112229914,6947
"Everett, WA, USA",2.972030929,0.479323558,1.077822358,4.841443197,40177
"Pierce County, WA, USA",2.893208486,0.529790624,1.066414287,5.01442494,52076
"Columbia County, OR, USA",3.23306889,0.293827484,1.124422461,4.910349752,45833
"Hood River County, OR, USA",3.107786889,0.386374475,1.121925644,4.827183099,10098
"Milton-Freewater, OR 97862, USA",2.926595184,0.508728358,1.059387252,5.293859649,1062
"Benton County, OR, USA",3.200383027,0.318599304,1.09270337,5.061303745,2629
"La Grande, OR 97850, USA",3.082789008,0.404063058,1.17011106,5.276533115,4562
"Westchester County, NY, USA",3.55036999,0.030366456,1.067674068,5.052521381,51464
"Wilsonville, OR, USA",3.19226443,0.324683621,1.0743267,4.903090811,12119
"Trinity County, CA, USA",3.50228645,0.07297056,1.336322426,4.56605042,3828
"Atlanta, GA, USA",3.499399987,0.075497639,1.099640649,4.621076499,127686
"Alexandria, VA, USA",3.516092992,0.060835321,1.060532511,4.859962049,4393
"Sonoma County, CA, USA",3.52375138,0.054069966,1.130098815,4.773190109,18330
"Plumas County, CA, USA",3.542273664,0.037607165,1.322596441,4.873909596,3495
"Modesto, CA, USA",2.972443638,0.479052548,1.076803272,5.062395758,18292
"Mendocino County, CA, USA",3.438499711,0.128011348,1.229182756,4.737478334,15001
"Madera, CA, USA",3.068680335,0.413932198,1.100076267,5.049754595,7964
"Susanville, CA, USA",3.417650897,0.145636291,1.187601976,5.051445864,4271
"Anaheim, CA, USA",2.686839664,0.649738692,1.075009469,4.950699286,18747
"Pulaski, VA, USA",3.559116638,0.022513659,1.120675974,4.586161305,1510
"Radford, VA, USA",3.553574591,0.027493021,1.102843177,4.864249326,2463
"Roanoke, VA, USA",3.581860303,0.001946002,1.136396398,4.699276882,27406
"Oshkosh, WI, USA",2.763077792,0.607480196,1.042475996,5.250979211,2727
"Laguna Beach, CA, USA",3.534245772,0.044759878,1.114289575,4.74892396,948
"Corona, CA, USA",3.468608708,0.102240553,1.085954304,5.023907667,2766
"San Andreas, CA, USA",3.576359926,0.00693976,1.19876228,4.735000767,4354
"Manatee County, FL, USA",2.780872816,0.597270127,1.083588257,5.383811438,23067
