Region,iso3,Country,City/Town,Year,"Annual mean, ug/m3",Temporal coverage,note on converted PM2.5,Number and type of monitoring stations,Reference for air quality,Database version (year),status
Western Pacific (LMIC),CHN,China,Quzhou,2016,43,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Rizhao,2016,55,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Rongcheng,2014,38,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Rushan,2014,48,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Sanmenxia,2016,66,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Sanming,2016,26,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Sanya,2016,14,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Shanghai,2016,45,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Shangluo,2016,39,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Shangqiu,2016,77,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Shangrao,2016,41,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Shantou,2016,30,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Shanwei,2016,24,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Shaoguan,2016,33,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Shaoxing,2016,45,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Shaoyang,2016,54,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Shenyang,2016,54,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Shenzhen,2016,27,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Shijiazhuang,2015,89,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Shiyan,2016,51,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Shizuishan,2016,47,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Shouguang,2014,78,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Shuangyashan,2016,34,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Siping,2016,46,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Songyuan,2016,35,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Suining,2016,44,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Suizhou,2016,56,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Suqian,2016,56,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Suzhou,2016,46,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Tai'an,2016,63,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Taian,2014,55,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Taicang,2014,54,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Taichung,2014,29,NA,Measured,-,,2016,
Western Pacific (LMIC),CHN,China,Tainan,2014,29,NA,Measured,-,,2016,
Western Pacific (LMIC),CHN,China,Taipei,2014,19,NA,Measured,-,,2016,
Western Pacific (LMIC),CHN,China,Taitung,2014,10,NA,Measured,-,,2016,
Western Pacific (LMIC),CHN,China,Taiyuan,2016,66,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Taizhou,2014,43,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Taizhou(Jiangsu Province),2016,51,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Taizhou(Zhejiang Province),2016,36,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Tangshan,2016,74,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Taoyuan,2014,24,NA,Measured,-,,2016,
Western Pacific (LMIC),CHN,China,Tianjin,2016,69,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Tianshui,2016,42,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Tieling,2016,48,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Tongchuan,2016,59,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Tonghua,2016,42,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Tongling,2016,51,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Tongren,2016,25,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Urumqi,2016,74,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Wafangdian,2014,58,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Wei'nan,2016,76,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Weifang,2014,49,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Weihai,2016,35,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Weinan,2014,68,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Wendeng,2014,46,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Wenzhou,2016,38,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Wuhai,2016,46,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Wuhan,2016,57,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Wuhu,2016,53,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Wujiang,2014,56,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Wuwei,2016,39,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Wuxi,2016,53,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Wuzhong,2016,48,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xi'an,2016,71,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xi'ning,2016,49,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xiamen,2016,28,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xiangtan,2016,51,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xiangxi,2016,44,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xiangyang,2016,64,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xianning,2016,48,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xianyang,2016,82,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xiaogan,2016,45,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xingtai,2016,87,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xining,2014,63,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xinxiang,2016,84,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xinyang,2016,58,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xinzhou,2016,56,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xuancheng,2016,51,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xuchang,2016,68,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Xuzhou,2016,60,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Ya'an,2016,42,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yan'an,2014,48,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Yanbian,2016,31,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yancheng,2016,43,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yangjiang,2016,31,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yangquan,2014,70,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Yangzhou,2016,51,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yantai,2016,39,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yibin,2015,58,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yichang,2016,62,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yilan,2014,16,NA,Measured,-,,2016,
Western Pacific (LMIC),CHN,China,Yinchuan,2016,55,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yingkou,2016,44,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yingtan,2016,41,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yiwu,2014,58,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Yixing,2014,54,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Yiyang,2016,44,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yongzhou,2016,45,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yueyang,2016,49,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yunfu,2016,34,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yunlin,2014,31,NA,Measured,-,,2016,
Western Pacific (LMIC),CHN,China,Yushu,2016,17,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Yuxi,2014,30,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Zaozhuang,2016,81,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zhangjiagang,2014,60,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Zhangjiajie,2016,48,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zhangjiakou,2016,32,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zhangqiu,2014,47,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Zhangye,2016,38,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zhangzhou,2016,33,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zhanjiang,2016,26,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zhaoqing,2016,37,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zhaoyang,2016,39,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zhaoyuan,2014,54,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Zhengzhou,2016,78,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zhenjiang,2016,50,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zhongshan,2016,30,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zhoukou,2016,68,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zhoushan,2016,25,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zhuhai,2016,26,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zhuji,2014,58,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Zhumadian,2016,68,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zhuzhou,2016,51,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zibo,2014,54,NA,Measured,-,China National Environmental Monitoring Center,2016,
Western Pacific (LMIC),CHN,China,Zigong,2016,73,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Ziyang,2016,49,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Western Pacific (LMIC),CHN,China,Zunyi,2016,44,NA,Measured,1 N.A.,Clean Air Asia (from Environment Status Bulletin published by city EPB/ provincial EPD),2018,
Africa (Sub-Saharan) (LMIC),CMR,Cameroon,Bafoussam,2012,67,NA,Measured,"1 station, commercial/residential","J. Antonel, Z. Chowdhury (2014), Atmospheric Environement 95, 344-354",2016,
Africa (Sub-Saharan) (LMIC),CMR,Cameroon,Bamenda,2012,132,NA,Measured,"1 station, residential/commercial","J. Antonel, Z. Chowdhury (2014), Atmospheric Environement 95, 344-354",2016,
Africa (Sub-Saharan) (LMIC),CMR,Cameroon,Yaoude,2012,49,NA,Measured,"1 station, commercial/residential","J. Antonel, Z. Chowdhury (2014), Atmospheric Environement 95, 344-354",2016,
Americas (LMIC),COL,Colombia,Caldas,2015,30,>75%,Measured,"1 N.A., 1 Urban Traffic",Area Metropolitana valle de Aburra,2018,
Americas (LMIC),COL,Colombia,Itagui,2015,26,>75%,Measured,"1 N.A., 1 Suburban Background",Area Metropolitana valle de Aburra,2018,
Americas (LMIC),COL,Colombia,La Estrella,2014,41,NA,Measured,"2 stations, suburban background","Resumen Anual  Calidad del Aire 2014,",2016,
Americas (LMIC),COL,Colombia,Manizales,2014,18,NA,Measured,"6 stations, urban","CORPOCALDAS, Informe Sistema de Vigilancia de Calidad del Aire - Resumen 2014",2016,
Americas (LMIC),COL,Colombia,Medellin,2015,36,>75%,Measured,"2 N.A., 1 Urban, 1 Urban Background",Area Metropolitana valle de Aburra,2018,
Americas (LMIC),COL,Colombia,Pasto,2014,9,NA,Measured,"1 station, urban background",Subsistema de Informacion sobre Calidad del Aire,2016,
Americas (LMIC),COL,Colombia,Santiago De Cali,2016,18,50% -< 75%,Measured,7 N.A.,Departamento Administrativo de Gestion del Medio Ambiente,2018,
Americas (LMIC),CRI,Costa Rica,Belen,2013,30,NA,Measured,"1 station, unspecified",VII Plan Nacional de Energia 2015-2030,2016,
Americas (LMIC),CRI,Costa Rica,Heredia,2013,29,NA,Measured,"1 station, Urban",VII Plan Nacional de Energia 2015-2030,2016,
Americas (LMIC),CRI,Costa Rica,Moravia,2013,14,NA,Measured,-,VII Plan Nacional de Energia 2015-2030,2016,
Americas (LMIC),CRI,Costa Rica,San Jose,2013,24,NA,Measured,"2 stations, Urban",VII Plan Nacional de Energia 2015-2030,2016,
Americas (LMIC),CUB,Cuba,La Habana,2015,35,50% -< 75%,Measured,1 Urban,Registro de determinaciones de contaminantes del laboratorio de calidad del aire INHEM,2018,
Europe (HIC),CYP,Cyprus,Agia Marina,2016,10,NA,Measured,1 Rural-Regional,DLI,2018,
Europe (HIC),CYP,Cyprus,Ayia Marina,2013,13,NA,Measured,"1 station, background, rural-regional","European Environment Agency, Air quality e-reporting database",2016,
Europe (HIC),CYP,Cyprus,Larnaca,2016,15,NA,Measured,2 Urban,DLI,2018,
Europe (HIC),CYP,Cyprus,Larnaka,2013,17,NA,Measured,-,"European Environment Agency, Air quality e-reporting database",2016,
Europe (HIC),CYP,Cyprus,Limassol,2016,15,NA,Measured,1 Urban,DLI,2018,
Europe (HIC),CYP,Cyprus,Nicosia,2013,17,NA,Measured,"1 station, traffic, urban","European Environment Agency, Air quality e-reporting database",2016,
Europe (HIC),CYP,Cyprus,Pafos,2013,16,NA,Measured,-,"European Environment Agency, Air quality e-reporting database",2016,
Europe (HIC),CYP,Cyprus,Paphos,2016,15,NA,Measured,"1 Suburban, 1 Urban","The European Environment Agency (EEA),DLI",2018,
Europe (HIC),CYP,Cyprus,Strovolos,2016,15,NA,Measured,2 Urban,DLI,2018,
Europe (HIC),CZE,Czechia,Belotin,2016,21,>75%,Measured,1 Rural-Near_city-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Beroun,2016,17,>75%,Measured,1 Urban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Brno,2016,17,>75%,Measured,"2 Suburban-Background, 2 Urban-Background, 2 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Bruntal,2016,15,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Ceske Budejovice,2016,19,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Cesky Tesin,2016,26,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Chystovice,2016,11,>75%,Measured,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Decin,2016,25,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Doksany,2016,17,>75%,Measured,1 Rural-Near_city-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Dolni Lutyne,2016,32,>75%,Measured,1 Rural-Near_city-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Dolni Studenky,2016,18,>75%,Measured,1 Rural-Near_city-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Frydek-Mistek,2016,23,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Frydlant,2016,12,>75%,Measured,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Hat,2016,26,>75%,Measured,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Havirov,2016,26,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Hradec Kralove,2016,17,>75%,Measured,"1 Urban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Jicin,2016,18,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Jihlava,2016,15,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Kadan,2016,15,>75%,Measured,1 Rural-Near_city-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Kamenny Ujezd,2016,17,>75%,Measured,1 Rural-Near_city-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Karvina,2016,27,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Kladno,2016,16,>75%,Measured,2 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Krizanov,2016,13,>75%,Measured,1 Rural-Near_city-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Kromeriz,2016,17,>75%,Measured,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Liberec,2016,17,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Marianske Radcice,2016,19,>75%,Measured,1 Rural-Near_city-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Mlada Boleslav,2016,15,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Moravska Trebova,2016,19,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Most,2016,18,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CZE,Czechia,Olomouc,2016,22,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
